id;DATE;UPAZILLACODE;CROPTYPEID;AREAAFFECTED [ha];LOSSTYPE [];Run_code
192;1-1-2001;302688;1;38;1;1
193;1-1-2001;302690;1;60;1;1
194;1-1-2001;302692;1;61;1;1
195;1-1-2001;302693;1;32;1;1
196;1-1-2001;302695;1;85;1;1
197;1-1-2001;302696;1;59;1;1
198;1-1-2001;302903;1;20;1;1
199;1-1-2001;302910;1;16;1;1
200;1-1-2001;302918;1;57;1;1
201;1-1-2001;302921;1;74;1;1
202;1-1-2001;302947;1;2;1;1
203;1-1-2001;302956;1;92;1;1
204;1-1-2001;302962;1;95;1;1
205;1-1-2001;302984;1;68;1;1
206;1-1-2001;302990;1;4;1;1
207;1-1-2001;303330;1;72;1;1
208;1-1-2001;303332;1;39;1;1
209;1-1-2001;303334;1;38;1;1
210;1-1-2001;303336;1;47;1;1
211;1-1-2001;303386;1;24;1;1
212;1-1-2001;303532;1;86;1;1
213;1-1-2001;303543;1;59;1;1
214;1-1-2001;303551;1;33;1;1
215;1-1-2001;303558;1;47;1;1
216;1-1-2001;303591;1;38;1;1
217;1-1-2001;303907;1;62;1;1
218;1-1-2001;303915;1;68;1;1
219;1-1-2001;303929;1;81;1;1
220;1-1-2001;303936;1;87;1;1
221;1-1-2001;303958;1;7;1;1
222;1-1-2001;303961;1;2;1;1
223;1-1-2001;303985;1;47;1;1
224;1-1-2001;304802;1;54;1;1
225;1-1-2001;304806;1;15;1;1
226;1-1-2001;304811;1;80;1;1
227;1-1-2001;304827;1;40;1;1
228;1-1-2001;304833;1;50;1;1
229;1-1-2001;304842;1;46;1;1
230;1-1-2001;304845;1;53;1;1
231;1-1-2001;304849;1;19;1;1
232;1-1-2001;304854;1;12;1;1
233;1-1-2001;304859;1;37;1;1
234;1-1-2001;304876;1;38;1;1
235;1-1-2001;304879;1;51;1;1
236;1-1-2001;304892;1;48;1;1
237;1-1-2001;305440;1;35;1;1
238;1-1-2001;305454;1;11;1;1
239;1-1-2001;305480;1;59;1;1
240;1-1-2001;305487;1;83;1;1
241;1-1-2001;305610;1;6;1;1
242;1-1-2001;305622;1;79;1;1
243;1-1-2001;305628;1;96;1;1
244;1-1-2001;305646;1;63;1;1
245;1-1-2001;305670;1;15;1;1
246;1-1-2001;305678;1;34;1;1
247;1-1-2001;305682;1;9;1;1
248;1-1-2001;305924;1;57;1;1
249;1-1-2001;305944;1;54;1;1
250;1-1-2001;305956;1;94;1;1
251;1-1-2001;305974;1;26;1;1
252;1-1-2001;305984;1;57;1;1
253;1-1-2001;305994;1;92;1;1
254;1-1-2001;306113;1;20;1;1
255;1-1-2001;306116;1;12;1;1
256;1-1-2001;306120;1;53;1;1
257;1-1-2001;306122;1;51;1;1
258;1-1-2001;306123;1;100;1;1
259;1-1-2001;306124;1;43;1;1
260;1-1-2001;306131;1;17;1;1
261;1-1-2001;306152;1;27;1;1
262;1-1-2001;306165;1;84;1;1
263;1-1-2001;306172;1;3;1;1
264;1-1-2001;306181;1;13;1;1
265;1-1-2001;306194;1;37;1;1
266;1-1-2001;306702;1;3;1;1
267;1-1-2001;306704;1;62;1;1
268;1-1-2001;306706;1;14;1;1
269;1-1-2001;306758;1;35;1;1
270;1-1-2001;306768;1;98;1;1
271;1-1-2001;306807;1;70;1;1
272;1-1-2001;306852;1;99;1;1
273;1-1-2001;306860;1;24;1;1
274;1-1-2001;306863;1;69;1;1
275;1-1-2001;306864;1;20;1;1
276;1-1-2001;306876;1;29;1;1
277;1-1-2001;307204;1;52;1;1
278;1-1-2001;307209;1;76;1;1
279;1-1-2001;307218;1;93;1;1
280;1-1-2001;307238;1;80;1;1
281;1-1-2001;307240;1;2;1;1
282;1-1-2001;307247;1;6;1;1
283;1-1-2001;307256;1;90;1;1
284;1-1-2001;307263;1;52;1;1
285;1-1-2001;307274;1;71;1;1
286;1-1-2001;307283;1;75;1;1
287;1-1-2001;308207;1;50;1;1
288;1-1-2001;308229;1;79;1;1
289;1-1-2001;308247;1;58;1;1
290;1-1-2001;308273;1;79;1;1
291;1-1-2001;308276;1;11;1;1
292;1-1-2001;308614;1;17;1;1
293;1-1-2001;308625;1;21;1;1
294;1-1-2001;308636;1;58;1;1
295;1-1-2001;308665;1;40;1;1
296;1-1-2001;308669;1;16;1;1
297;1-1-2001;308694;1;79;1;1
298;1-1-2001;308937;1;21;1;1
299;1-1-2001;308967;1;18;1;1
300;1-1-2001;308970;1;26;1;1
301;1-1-2001;308988;1;60;1;1
302;1-1-2001;308990;1;46;1;1
303;1-1-2001;309309;1;33;1;1
304;1-1-2001;309319;1;100;1;1
305;1-1-2001;309323;1;29;1;1
306;1-1-2001;309325;1;95;1;1
307;1-1-2001;309328;1;37;1;1
308;1-1-2001;309338;1;47;1;1
309;1-1-2001;309347;1;30;1;1
310;1-1-2001;309357;1;73;1;1
311;1-1-2001;309366;1;81;1;1
312;1-1-2001;309376;1;53;1;1
313;1-1-2001;309385;1;90;1;1
314;1-1-2001;309395;1;9;1;1
315;1-1-2001;400108;1;79;1;1
316;1-1-2001;400114;1;7;1;1
317;1-1-2001;400134;1;82;1;1
318;1-1-2001;400138;1;32;1;1
319;1-1-2001;400156;1;62;1;1
320;1-1-2001;400158;1;33;1;1
321;1-1-2001;400160;1;64;1;1
322;1-1-2001;400173;1;73;1;1
323;1-1-2001;400177;1;47;1;1
324;1-1-2001;401807;1;9;1;1
325;1-1-2001;401823;1;9;1;1
326;1-1-2001;401831;1;70;1;1
327;1-1-2001;401855;1;24;1;1
328;1-1-2001;404104;1;84;1;1
329;1-1-2001;404109;1;27;1;1
330;1-1-2001;404111;1;36;1;1
331;1-1-2001;404123;1;56;1;1
332;1-1-2001;404138;1;67;1;1
333;1-1-2001;404147;1;89;1;1
334;1-1-2001;404161;1;34;1;1
335;1-1-2001;404190;1;86;1;1
336;1-1-2001;404414;1;29;1;1
337;1-1-2001;404419;1;8;1;1
338;1-1-2001;404433;1;75;1;1
339;1-1-2001;404442;1;50;1;1
340;1-1-2001;404471;1;97;1;1
341;1-1-2001;404480;1;81;1;1
342;1-1-2001;404712;1;6;1;1
343;1-1-2001;404717;1;72;1;1
344;1-1-2001;404721;1;24;1;1
345;1-1-2001;404730;1;45;1;1
346;1-1-2001;404740;1;45;1;1
347;1-1-2001;404745;1;88;1;1
348;1-1-2001;404748;1;81;1;1
349;1-1-2001;404751;1;34;1;1
350;1-1-2001;404753;1;86;1;1
351;1-1-2001;404764;1;1;1;1
352;1-1-2001;404769;1;33;1;1
353;1-1-2001;404775;1;16;1;1
354;1-1-2001;404785;1;58;1;1
355;1-1-2001;404794;1;43;1;1
356;1-1-2001;405015;1;59;1;1
357;1-1-2001;405039;1;58;1;1
358;1-1-2001;405063;1;14;1;1
359;1-1-2001;405071;1;57;1;1
360;1-1-2001;405079;1;14;1;1
361;1-1-2001;405094;1;79;1;1
362;1-1-2001;405557;1;42;1;1
363;1-1-2001;405566;1;48;1;1
364;1-1-2001;405585;1;55;1;1
365;1-1-2001;405595;1;87;1;1
366;1-1-2001;405747;1;81;1;1
367;1-1-2001;405760;1;49;1;1
368;1-1-2001;405787;1;94;1;1
369;1-1-2001;406528;1;44;1;1
370;1-1-2001;406552;1;86;1;1
371;1-1-2001;406576;1;53;1;1
372;1-1-2001;408704;1;42;1;1
373;1-1-2001;408725;1;48;1;1
374;1-1-2001;408743;1;3;1;1
375;1-1-2001;408747;1;75;1;1
376;1-1-2001;408782;1;18;1;1
377;1-1-2001;408786;1;23;1;1
378;1-1-2001;408790;1;28;1;1
379;1-1-2001;501006;1;35;1;1
380;1-1-2001;501020;1;89;1;1
381;1-1-2001;501027;1;28;1;1
382;1-1-2001;501033;1;45;1;1
383;1-1-2001;501040;1;30;1;1
384;1-1-2001;501054;1;12;1;1
385;1-1-2001;501067;1;73;1;1
386;1-1-2001;501081;1;50;1;1
387;1-1-2001;501085;1;43;1;1
388;1-1-2001;501088;1;89;1;1
389;1-1-2001;501094;1;78;1;1
390;1-1-2001;501095;1;60;1;1
391;1-1-2001;503813;1;93;1;1
392;1-1-2001;503847;1;7;1;1
393;1-1-2001;503858;1;3;1;1
394;1-1-2001;503861;1;41;1;1
395;1-1-2001;503874;1;97;1;1
396;1-1-2001;506403;1;26;1;1
397;1-1-2001;506406;1;62;1;1
398;1-1-2001;506428;1;21;1;1
399;1-1-2001;506447;1;71;1;1
400;1-1-2001;506450;1;38;1;1
401;1-1-2001;506460;1;64;1;1
402;1-1-2001;506469;1;10;1;1
403;1-1-2001;506475;1;6;1;1
404;1-1-2001;506479;1;59;1;1
405;1-1-2001;506485;1;24;1;1
406;1-1-2001;506486;1;14;1;1
407;1-1-2001;506909;1;84;1;1
408;1-1-2001;506915;1;6;1;1
409;1-1-2001;506941;1;4;1;1
410;1-1-2001;506944;1;1;1;1
411;1-1-2001;506963;1;96;1;1
412;1-1-2001;506991;1;1;1;1
413;1-1-2001;507018;1;42;1;1
414;1-1-2001;507037;1;95;1;1
415;1-1-2001;507056;1;12;1;1
416;1-1-2001;507066;1;65;1;1
417;1-1-2001;507088;1;13;1;1
418;1-1-2001;507605;1;26;1;1
419;1-1-2001;507616;1;2;1;1
420;1-1-2001;507619;1;92;1;1
421;1-1-2001;507622;1;50;1;1
422;1-1-2001;507633;1;60;1;1
423;1-1-2001;507639;1;96;1;1
424;1-1-2001;507655;1;55;1;1
425;1-1-2001;507672;1;86;1;1
426;1-1-2001;507683;1;59;1;1
427;1-1-2001;508110;1;58;1;1
428;1-1-2001;508112;1;43;1;1
429;1-1-2001;508122;1;30;1;1
430;1-1-2001;508125;1;22;1;1
431;1-1-2001;508131;1;46;1;1
432;1-1-2001;508134;1;87;1;1
433;1-1-2001;508140;1;52;1;1
434;1-1-2001;508153;1;88;1;1
435;1-1-2001;508172;1;97;1;1
436;1-1-2001;508182;1;57;1;1
437;1-1-2001;508185;1;73;1;1
438;1-1-2001;508190;1;43;1;1
439;1-1-2001;508194;1;27;1;1
440;1-1-2001;508811;1;2;1;1
441;1-1-2001;508827;1;90;1;1
442;1-1-2001;508844;1;19;1;1
443;1-1-2001;508850;1;45;1;1
444;1-1-2001;508861;1;69;1;1
445;1-1-2001;508867;1;16;1;1
446;1-1-2001;508878;1;71;1;1
447;1-1-2001;508889;1;74;1;1
448;1-1-2001;508894;1;30;1;1
449;1-1-2001;552710;1;64;1;1
450;1-1-2001;552712;1;72;1;1
451;1-1-2001;552717;1;63;1;1
452;1-1-2001;552721;1;9;1;1
453;1-1-2001;552730;1;71;1;1
454;1-1-2001;552738;1;57;1;1
455;1-1-2001;552743;1;49;1;1
456;1-1-2001;552747;1;27;1;1
457;1-1-2001;552756;1;76;1;1
458;1-1-2001;552760;1;78;1;1
459;1-1-2001;552764;1;12;1;1
460;1-1-2001;552769;1;74;1;1
461;1-1-2001;552777;1;68;1;1
462;1-1-2001;553221;1;57;1;1
463;1-1-2001;553224;1;71;1;1
464;1-1-2001;553230;1;53;1;1
465;1-1-2001;553267;1;46;1;1
466;1-1-2001;553282;1;60;1;1
467;1-1-2001;553288;1;84;1;1
468;1-1-2001;553291;1;39;1;1
469;1-1-2001;554906;1;2;1;1
470;1-1-2001;554908;1;59;1;1
471;1-1-2001;554909;1;13;1;1
472;1-1-2001;554918;1;51;1;1
473;1-1-2001;554952;1;55;1;1
474;1-1-2001;554961;1;41;1;1
475;1-1-2001;554977;1;63;1;1
476;1-1-2001;554979;1;57;1;1
477;1-1-2001;554994;1;93;1;1
478;1-1-2001;555202;1;92;1;1
479;1-1-2001;555233;1;90;1;1
480;1-1-2001;555239;1;39;1;1
481;1-1-2001;555255;1;51;1;1
482;1-1-2001;555270;1;90;1;1
483;1-1-2001;557312;1;45;1;1
484;1-1-2001;557315;1;12;1;1
485;1-1-2001;557336;1;35;1;1
486;1-1-2001;557345;1;8;1;1
487;1-1-2001;557364;1;76;1;1
488;1-1-2001;557385;1;18;1;1
489;1-1-2001;557704;1;76;1;1
490;1-1-2001;557725;1;28;1;1
491;1-1-2001;557734;1;74;1;1
492;1-1-2001;557773;1;27;1;1
493;1-1-2001;557790;1;95;1;1
494;1-1-2001;558503;1;27;1;1
495;1-1-2001;558527;1;94;1;1
496;1-1-2001;558542;1;31;1;1
497;1-1-2001;558549;1;55;1;1
498;1-1-2001;558558;1;3;1;1
499;1-1-2001;558573;1;49;1;1
500;1-1-2001;558576;1;46;1;1
501;1-1-2001;558592;1;28;1;1
502;1-1-2001;559408;1;42;1;1
503;1-1-2001;559451;1;77;1;1
504;1-1-2001;559482;1;67;1;1
505;1-1-2001;559486;1;2;1;1
506;1-1-2001;559494;1;27;1;1
507;1-1-2001;603602;1;60;1;1
508;1-1-2001;603605;1;71;1;1
509;1-1-2001;603611;1;17;1;1
510;1-1-2001;603626;1;52;1;1
511;1-1-2001;603644;1;76;1;1
512;1-1-2001;603668;1;80;1;1
513;1-1-2001;603671;1;81;1;1
514;1-1-2001;603677;1;20;1;1
515;1-1-2001;605814;1;3;1;1
516;1-1-2001;605835;1;71;1;1
517;1-1-2001;605856;1;8;1;1
518;1-1-2001;605865;1;62;1;1
519;1-1-2001;605874;1;70;1;1
520;1-1-2001;605880;1;74;1;1
521;1-1-2001;605883;1;34;1;1
522;1-1-2001;609018;1;36;1;1
523;1-1-2001;609023;1;6;1;1
524;1-1-2001;609027;1;28;1;1
525;1-1-2001;609029;1;4;1;1
526;1-1-2001;609032;1;42;1;1
527;1-1-2001;609033;1;77;1;1
528;1-1-2001;609047;1;91;1;1
529;1-1-2001;609050;1;74;1;1
530;1-1-2001;609086;1;97;1;1
531;1-1-2001;609089;1;100;1;1
532;1-1-2001;609092;1;88;1;1
533;1-1-2001;609108;1;17;1;1
534;1-1-2001;609117;1;53;1;1
535;1-1-2001;609120;1;42;1;1
536;1-1-2001;609127;1;46;1;1
537;1-1-2001;609131;1;70;1;1
538;1-1-2001;609135;1;49;1;1
539;1-1-2001;609138;1;22;1;1
540;1-1-2001;609141;1;62;1;1
541;1-1-2001;609153;1;75;1;1
542;1-1-2001;609159;1;67;1;1
543;1-1-2001;609162;1;81;1;1
544;11-1-2001;100409;1;69;1;1
545;11-1-2001;100419;1;87;1;1
546;11-1-2001;100428;1;93;1;1
547;11-1-2001;100447;1;97;1;1
548;11-1-2001;100485;1;50;1;1
549;11-1-2001;100602;1;47;1;1
550;11-1-2001;100603;1;83;1;1
551;11-1-2001;100607;1;18;1;1
552;11-1-2001;100610;1;44;1;1
553;11-1-2001;100632;1;16;1;1
554;11-1-2001;100636;1;55;1;1
555;11-1-2001;100651;1;31;1;1
556;11-1-2001;100662;1;73;1;1
557;11-1-2001;100669;1;7;1;1
558;11-1-2001;100694;1;29;1;1
559;11-1-2001;100918;1;52;1;1
560;11-1-2001;100921;1;61;1;1
561;11-1-2001;100925;1;56;1;1
562;11-1-2001;100929;1;86;1;1
563;11-1-2001;100954;1;31;1;1
564;11-1-2001;100965;1;17;1;1
565;11-1-2001;100991;1;41;1;1
566;11-1-2001;104240;1;73;1;1
567;11-1-2001;104243;1;19;1;1
568;11-1-2001;104273;1;1;1;1
569;11-1-2001;104284;1;86;1;1
570;11-1-2001;107838;1;25;1;1
571;11-1-2001;107852;1;76;1;1
572;11-1-2001;107855;1;10;1;1
573;11-1-2001;107857;1;96;1;1
574;11-1-2001;107866;1;60;1;1
575;11-1-2001;107876;1;46;1;1
576;11-1-2001;107895;1;52;1;1
577;11-1-2001;107914;1;56;1;1
578;11-1-2001;107947;1;83;1;1
579;11-1-2001;107958;1;93;1;1
580;11-1-2001;107976;1;81;1;1
581;11-1-2001;107980;1;60;1;1
582;11-1-2001;107987;1;13;1;1
583;11-1-2001;107990;1;95;1;1
584;11-1-2001;200304;1;85;1;1
585;11-1-2001;200314;1;76;1;1
586;11-1-2001;200351;1;77;1;1
587;11-1-2001;200373;1;86;1;1
588;11-1-2001;200389;1;99;1;1
589;11-1-2001;200391;1;11;1;1
590;11-1-2001;200395;1;2;1;1
591;11-1-2001;201202;1;16;1;1
592;11-1-2001;201204;1;13;1;1
593;11-1-2001;201207;1;3;1;1
594;11-1-2001;201213;1;64;1;1
595;11-1-2001;201233;1;20;1;1
596;11-1-2001;201263;1;1;1;1
597;11-1-2001;201285;1;98;1;1
598;11-1-2001;201290;1;54;1;1
599;11-1-2001;201294;1;8;1;1
600;11-1-2001;201322;1;65;1;1
601;11-1-2001;201345;1;5;1;1
602;11-1-2001;201347;1;12;1;1
603;11-1-2001;201349;1;61;1;1
604;11-1-2001;201358;1;97;1;1
605;11-1-2001;201376;1;84;1;1
606;11-1-2001;201379;1;91;1;1
607;11-1-2001;201395;1;22;1;1
608;11-1-2001;201504;1;64;1;1
609;11-1-2001;201506;1;70;1;1
610;11-1-2001;201508;1;56;1;1
611;11-1-2001;201510;1;95;1;1
612;11-1-2001;201512;1;47;1;1
613;11-1-2001;201518;1;24;1;1
614;11-1-2001;201519;1;24;1;1
615;11-1-2001;201520;1;40;1;1
616;11-1-2001;201528;1;52;1;1
617;11-1-2001;201533;1;64;1;1
618;11-1-2001;201535;1;38;1;1
619;11-1-2001;201537;1;46;1;1
620;11-1-2001;201541;1;90;1;1
621;11-1-2001;201543;1;11;1;1
622;11-1-2001;201547;1;43;1;1
623;11-1-2001;201553;1;59;1;1
624;11-1-2001;201555;1;56;1;1
625;11-1-2001;201557;1;15;1;1
626;11-1-2001;201561;1;61;1;1
627;11-1-2001;201565;1;58;1;1
628;11-1-2001;201570;1;9;1;1
629;11-1-2001;201574;1;100;1;1
630;11-1-2001;201578;1;54;1;1
631;11-1-2001;201582;1;60;1;1
632;11-1-2001;201586;1;5;1;1
633;11-1-2001;201909;1;84;1;1
634;11-1-2001;201915;1;50;1;1
635;11-1-2001;201918;1;51;1;1
636;11-1-2001;201927;1;78;1;1
637;11-1-2001;201931;1;8;1;1
638;11-1-2001;201933;1;73;1;1
639;11-1-2001;201936;1;48;1;1
640;11-1-2001;201940;1;75;1;1
641;11-1-2001;201954;1;10;1;1
642;11-1-2001;201967;1;42;1;1
643;11-1-2001;201972;1;95;1;1
644;11-1-2001;201974;1;8;1;1
645;11-1-2001;201975;1;83;1;1
646;11-1-2001;201981;1;89;1;1
647;11-1-2001;201987;1;40;1;1
648;11-1-2001;201994;1;76;1;1
649;11-1-2001;202216;1;70;1;1
650;11-1-2001;202224;1;81;1;1
651;11-1-2001;202245;1;91;1;1
652;11-1-2001;202249;1;57;1;1
653;11-1-2001;202256;1;4;1;1
654;11-1-2001;202266;1;11;1;1
655;11-1-2001;202290;1;82;1;1
656;11-1-2001;202294;1;74;1;1
657;11-1-2001;203014;1;11;1;1
658;11-1-2001;203025;1;38;1;1
659;11-1-2001;203029;1;38;1;1
660;11-1-2001;203041;1;64;1;1
661;11-1-2001;203051;1;94;1;1
662;11-1-2001;203094;1;98;1;1
663;11-1-2001;204643;1;46;1;1
664;11-1-2001;204649;1;14;1;1
665;11-1-2001;204661;1;57;1;1
666;11-1-2001;204665;1;87;1;1
667;11-1-2001;204667;1;88;1;1
668;11-1-2001;204670;1;62;1;1
669;11-1-2001;204677;1;80;1;1
670;11-1-2001;204680;1;7;1;1
671;11-1-2001;205133;1;50;1;1
672;11-1-2001;205143;1;58;1;1
673;11-1-2001;205158;1;3;1;1
674;11-1-2001;205165;1;33;1;1
675;11-1-2001;205173;1;69;1;1
676;11-1-2001;207507;1;84;1;1
677;11-1-2001;207510;1;66;1;1
678;11-1-2001;207521;1;14;1;1
679;11-1-2001;207536;1;6;1;1
680;11-1-2001;207547;1;25;1;1
681;11-1-2001;207580;1;12;1;1
682;11-1-2001;207583;1;35;1;1
683;11-1-2001;207585;1;90;1;1
684;11-1-2001;207587;1;97;1;1
685;11-1-2001;208407;1;96;1;1
686;11-1-2001;208421;1;42;1;1
687;11-1-2001;208425;1;97;1;1
688;11-1-2001;208429;1;77;1;1
689;11-1-2001;208436;1;15;1;1
690;11-1-2001;208447;1;28;1;1
691;11-1-2001;208458;1;18;1;1
692;11-1-2001;208475;1;73;1;1
693;11-1-2001;208478;1;90;1;1
694;11-1-2001;208487;1;22;1;1
