id;DATE;UPAZILLACODE;CROPTYPEID;AREAAFFECTED [ha];LOSSTYPE [];18
280;2001-01-01;307238;1;80;1;75
281;2001-01-01;307240;1;2;1;36
282;2001-01-01;307247;1;6;1;62
283;2001-01-01;307256;1;90;1;8
284;2001-01-01;307263;1;52;1;79
285;2001-01-01;307274;1;71;1;9
286;2001-01-01;307283;1;75;1;11
287;2001-01-01;308207;1;50;1;91
288;2001-01-01;308229;1;79;1;29
289;2001-01-01;308247;1;58;1;36
290;2001-01-01;308273;1;79;1;18
291;2001-01-01;308276;1;11;1;22
292;2001-01-01;308614;1;17;1;58
293;2001-01-01;308625;1;21;1;27
294;2001-01-01;308636;1;58;1;85
295;2001-01-01;308665;1;40;1;48
296;2001-01-01;308669;1;16;1;46
297;2001-01-01;308694;1;79;1;63
298;2001-01-01;308937;1;21;1;21
299;2001-01-01;308967;1;18;1;65
300;2001-01-01;308970;1;26;1;56
301;2001-01-01;308988;1;60;1;73
302;2001-01-01;308990;1;46;1;7
303;2001-01-01;309309;1;33;1;33
304;2001-01-01;309319;1;100;1;81
305;2001-01-01;309323;1;29;1;88
306;2001-01-01;309325;1;95;1;3
307;2001-01-01;309328;1;37;1;16
308;2001-01-01;309338;1;47;1;85
309;2001-01-01;309347;1;30;1;38
310;2001-01-01;309357;1;73;1;77
311;2001-01-01;309366;1;81;1;8
312;2001-01-01;309376;1;53;1;15
313;2001-01-01;309385;1;90;1;89
314;2001-01-01;309395;1;9;1;100
315;2001-01-01;400108;1;79;1;77
316;2001-01-01;400114;1;7;1;55
317;2001-01-01;400134;1;82;1;55
318;2001-01-01;400138;1;32;1;46
319;2001-01-01;400156;1;62;1;64
320;2001-01-01;400158;1;33;1;4
321;2001-01-01;400160;1;64;1;2
322;2001-01-01;400173;1;73;1;29
323;2001-01-01;400177;1;47;1;29
324;2001-01-01;401807;1;9;1;27
325;2001-01-01;401823;1;9;1;59
326;2001-01-01;401831;1;70;1;13
327;2001-01-01;401855;1;24;1;10
328;2001-01-01;404104;1;84;1;23
329;2001-01-01;404109;1;27;1;25
330;2001-01-01;404111;1;36;1;12
331;2001-01-01;404123;1;56;1;45
332;2001-01-01;404138;1;67;1;57
333;2001-01-01;404147;1;89;1;38
334;2001-01-01;404161;1;34;1;22
335;2001-01-01;404190;1;86;1;11
336;2001-01-01;404414;1;29;1;53
337;2001-01-01;404419;1;8;1;7
338;2001-01-01;404433;1;75;1;22
339;2001-01-01;404442;1;50;1;12
340;2001-01-01;404471;1;97;1;30
341;2001-01-01;404480;1;81;1;40
342;2001-01-01;404712;1;6;1;93
343;2001-01-01;404717;1;72;1;81
344;2001-01-01;404721;1;24;1;17
345;2001-01-01;404730;1;45;1;79
346;2001-01-01;404740;1;45;1;25
347;2001-01-01;404745;1;88;1;30
348;2001-01-01;404748;1;81;1;49
349;2001-01-01;404751;1;34;1;27
350;2001-01-01;404753;1;86;1;64
351;2001-01-01;404764;1;1;1;24
352;2001-01-01;404769;1;33;1;63
353;2001-01-01;404775;1;16;1;68
354;2001-01-01;404785;1;58;1;30
355;2001-01-01;404794;1;43;1;78
356;2001-01-01;405015;1;59;1;45
357;2001-01-01;405039;1;58;1;78
358;2001-01-01;405063;1;14;1;62
359;2001-01-01;405071;1;57;1;85
360;2001-01-01;405079;1;14;1;10
361;2001-01-01;405094;1;79;1;5
362;2001-01-01;405557;1;42;1;3
363;2001-01-01;405566;1;48;1;84
364;2001-01-01;405585;1;55;1;91
365;2001-01-01;405595;1;87;1;86
366;2001-01-01;405747;1;81;1;15
367;2001-01-01;405760;1;49;1;28
368;2001-01-01;405787;1;94;1;53
369;2001-01-01;406528;1;44;1;15
370;2001-01-01;406552;1;86;1;56
371;2001-01-01;406576;1;53;1;69
372;2001-01-01;408704;1;42;1;63
373;2001-01-01;408725;1;48;1;37
374;2001-01-01;408743;1;3;1;43
375;2001-01-01;408747;1;75;1;4
376;2001-01-01;408782;1;18;1;10
377;2001-01-01;408786;1;23;1;90
378;2001-01-01;408790;1;28;1;68
379;2001-01-01;501006;1;35;1;96
380;2001-01-01;501020;1;89;1;48
381;2001-01-01;501027;1;28;1;60
382;2001-01-01;501033;1;45;1;67
383;2001-01-01;501040;1;30;1;33
384;2001-01-01;501054;1;12;1;47
385;2001-01-01;501067;1;73;1;78
386;2001-01-01;501081;1;50;1;6
387;2001-01-01;501085;1;43;1;64
388;2001-01-01;501088;1;89;1;10
389;2001-01-01;501094;1;78;1;50
390;2001-01-01;501095;1;60;1;43
391;2001-01-01;503813;1;93;1;18
392;2001-01-01;503847;1;7;1;20
393;2001-01-01;503858;1;3;1;100
394;2001-01-01;503861;1;41;1;25
395;2001-01-01;503874;1;97;1;99
396;2001-01-01;506403;1;26;1;90
397;2001-01-01;506406;1;62;1;53
398;2001-01-01;506428;1;21;1;47
399;2001-01-01;506447;1;71;1;53
400;2001-01-01;506450;1;38;1;17
401;2001-01-01;506460;1;64;1;51
402;2001-01-01;506469;1;10;1;97
403;2001-01-01;506475;1;6;1;25
404;2001-01-01;506479;1;59;1;25
405;2001-01-01;506485;1;24;1;32
406;2001-01-01;506486;1;14;1;85
407;2001-01-01;506909;1;84;1;39
408;2001-01-01;506915;1;6;1;2
409;2001-01-01;506941;1;4;1;39
410;2001-01-01;506944;1;1;1;52
411;2001-01-01;506963;1;96;1;36
412;2001-01-01;506991;1;1;1;47
413;2001-01-01;507018;1;42;1;29
414;2001-01-01;507037;1;95;1;83
415;2001-01-01;507056;1;12;1;83
416;2001-01-01;507066;1;65;1;11
417;2001-01-01;507088;1;13;1;42
418;2001-01-01;507605;1;26;1;7
419;2001-01-01;507616;1;2;1;35
420;2001-01-01;507619;1;92;1;25
421;2001-01-01;507622;1;50;1;85
422;2001-01-01;507633;1;60;1;77
423;2001-01-01;507639;1;96;1;90
424;2001-01-01;507655;1;55;1;31
425;2001-01-01;507672;1;86;1;86
426;2001-01-01;507683;1;59;1;7
427;2001-01-01;508110;1;58;1;70
428;2001-01-01;508112;1;43;1;56
429;2001-01-01;508122;1;30;1;11
430;2001-01-01;508125;1;22;1;64
431;2001-01-01;508131;1;46;1;100
432;2001-01-01;508134;1;87;1;49
433;2001-01-01;508140;1;52;1;22
434;2001-01-01;508153;1;88;1;60
435;2001-01-01;508172;1;97;1;59
436;2001-01-01;508182;1;57;1;9
437;2001-01-01;508185;1;73;1;14
438;2001-01-01;508190;1;43;1;83
439;2001-01-01;508194;1;27;1;85
440;2001-01-01;508811;1;2;1;75
441;2001-01-01;508827;1;90;1;63
442;2001-01-01;508844;1;19;1;93
443;2001-01-01;508850;1;45;1;20
444;2001-01-01;508861;1;69;1;59
445;2001-01-01;508867;1;16;1;53
446;2001-01-01;508878;1;71;1;89
447;2001-01-01;508889;1;74;1;12
448;2001-01-01;508894;1;30;1;59
449;2001-01-01;552710;1;64;1;85
450;2001-01-01;552712;1;72;1;59
451;2001-01-01;552717;1;63;1;47
452;2001-01-01;552721;1;9;1;37
453;2001-01-01;552730;1;71;1;5
454;2001-01-01;552738;1;57;1;78
455;2001-01-01;552743;1;49;1;52
456;2001-01-01;552747;1;27;1;50
457;2001-01-01;552756;1;76;1;51
458;2001-01-01;552760;1;78;1;29
459;2001-01-01;552764;1;12;1;29
460;2001-01-01;552769;1;74;1;34
461;2001-01-01;552777;1;68;1;25
462;2001-01-01;553221;1;57;1;90
463;2001-01-01;553224;1;71;1;67
464;2001-01-01;553230;1;53;1;3
465;2001-01-01;553267;1;46;1;86
466;2001-01-01;553282;1;60;1;25
467;2001-01-01;553288;1;84;1;36
468;2001-01-01;553291;1;39;1;8
469;2001-01-01;554906;1;2;1;18
470;2001-01-01;554908;1;59;1;58
471;2001-01-01;554909;1;13;1;50
472;2001-01-01;554918;1;51;1;45
473;2001-01-01;554952;1;55;1;93
474;2001-01-01;554961;1;41;1;94
475;2001-01-01;554977;1;63;1;61
476;2001-01-01;554979;1;57;1;74
477;2001-01-01;554994;1;93;1;20
478;2001-01-01;555202;1;92;1;5
479;2001-01-01;555233;1;90;1;30
480;2001-01-01;555239;1;39;1;37
481;2001-01-01;555255;1;51;1;73
482;2001-01-01;555270;1;90;1;39
483;2001-01-01;557312;1;45;1;25
484;2001-01-01;557315;1;12;1;19
485;2001-01-01;557336;1;35;1;64
486;2001-01-01;557345;1;8;1;81
487;2001-01-01;557364;1;76;1;20
488;2001-01-01;557385;1;18;1;47
489;2001-01-01;557704;1;76;1;1
490;2001-01-01;557725;1;28;1;87
491;2001-01-01;557734;1;74;1;84
492;2001-01-01;557773;1;27;1;66
493;2001-01-01;557790;1;95;1;93
494;2001-01-01;558503;1;27;1;80
495;2001-01-01;558527;1;94;1;60
496;2001-01-01;558542;1;31;1;39
497;2001-01-01;558549;1;55;1;57
498;2001-01-01;558558;1;3;1;60
499;2001-01-01;558573;1;49;1;23
500;2001-01-01;558576;1;46;1;46
501;2001-01-01;558592;1;28;1;29
502;2001-01-01;559408;1;42;1;41
503;2001-01-01;559451;1;77;1;99
504;2001-01-01;559482;1;67;1;60
505;2001-01-01;559486;1;2;1;84
506;2001-01-01;559494;1;27;1;3
507;2001-01-01;603602;1;60;1;29
508;2001-01-01;603605;1;71;1;80
509;2001-01-01;603611;1;17;1;78
510;2001-01-01;603626;1;52;1;77
511;2001-01-01;603644;1;76;1;80
512;2001-01-01;603668;1;80;1;77
513;2001-01-01;603671;1;81;1;29
514;2001-01-01;603677;1;20;1;17
515;2001-01-01;605814;1;3;1;29
516;2001-01-01;605835;1;71;1;28
517;2001-01-01;605856;1;8;1;50
518;2001-01-01;605865;1;62;1;86
519;2001-01-01;605874;1;70;1;1
520;2001-01-01;605880;1;74;1;58
521;2001-01-01;605883;1;34;1;3
522;2001-01-01;609018;1;36;1;58
523;2001-01-01;609023;1;6;1;100
524;2001-01-01;609027;1;28;1;45
525;2001-01-01;609029;1;4;1;35
526;2001-01-01;609032;1;42;1;39
527;2001-01-01;609033;1;77;1;2
528;2001-01-01;609047;1;91;1;2
529;2001-01-01;609050;1;74;1;52
530;2001-01-01;609086;1;97;1;61
531;2001-01-01;609089;1;100;1;43
532;2001-01-01;609092;1;88;1;78
533;2001-01-01;609108;1;17;1;10
534;2001-01-01;609117;1;53;1;19
535;2001-01-01;609120;1;42;1;12
536;2001-01-01;609127;1;46;1;45
537;2001-01-01;609131;1;70;1;81
538;2001-01-01;609135;1;49;1;64
539;2001-01-01;609138;1;22;1;50
540;2001-01-01;609141;1;62;1;36
541;2001-01-01;609153;1;75;1;1
542;2001-01-01;609159;1;67;1;59
543;2001-01-01;609162;1;81;1;50
544;2001-01-11;100409;1;69;1;80
545;2001-01-11;100419;1;87;1;39
546;2001-01-11;100428;1;93;1;38
547;2001-01-11;100447;1;97;1;82
548;2001-01-11;100485;1;50;1;33
549;2001-01-11;100602;1;47;1;45
550;2001-01-11;100603;1;83;1;94
551;2001-01-11;100607;1;18;1;93
552;2001-01-11;100610;1;44;1;97
553;2001-01-11;100632;1;16;1;26
554;2001-01-11;100636;1;55;1;58
555;2001-01-11;100651;1;31;1;43
556;2001-01-11;100662;1;73;1;14
557;2001-01-11;100669;1;7;1;83
558;2001-01-11;100694;1;29;1;45
559;2001-01-11;100918;1;52;1;33
560;2001-01-11;100921;1;61;1;84
561;2001-01-11;100925;1;56;1;34
562;2001-01-11;100929;1;86;1;49
563;2001-01-11;100954;1;31;1;84
564;2001-01-11;100965;1;17;1;50
565;2001-01-11;100991;1;41;1;26
566;2001-01-11;104240;1;73;1;76
567;2001-01-11;104243;1;19;1;9
568;2001-01-11;104273;1;1;1;16
569;2001-01-11;104284;1;86;1;37
570;2001-01-11;107838;1;25;1;81
571;2001-01-11;107852;1;76;1;4
572;2001-01-11;107855;1;10;1;31
573;2001-01-11;107857;1;96;1;24
574;2001-01-11;107866;1;60;1;4
575;2001-01-11;107876;1;46;1;70
576;2001-01-11;107895;1;52;1;95
577;2001-01-11;107914;1;56;1;40
578;2001-01-11;107947;1;83;1;19
579;2001-01-11;107958;1;93;1;49
580;2001-01-11;107976;1;81;1;56
581;2001-01-11;107980;1;60;1;2
582;2001-01-11;107987;1;13;1;82
583;2001-01-11;107990;1;95;1;6
584;2001-01-11;200304;1;85;1;67
585;2001-01-11;200314;1;76;1;79
586;2001-01-11;200351;1;77;1;44
587;2001-01-11;200373;1;86;1;23
588;2001-01-11;200389;1;99;1;69
589;2001-01-11;200391;1;11;1;86
590;2001-01-11;200395;1;2;1;35
591;2001-01-11;201202;1;16;1;88
592;2001-01-11;201204;1;13;1;32
593;2001-01-11;201207;1;3;1;7
594;2001-01-11;201213;1;64;1;53
595;2001-01-11;201233;1;20;1;18
596;2001-01-11;201263;1;1;1;26
597;2001-01-11;201285;1;98;1;63
598;2001-01-11;201290;1;54;1;30
599;2001-01-11;201294;1;8;1;91
600;2001-01-11;201322;1;65;1;24
601;2001-01-11;201345;1;5;1;31
602;2001-01-11;201347;1;12;1;10
603;2001-01-11;201349;1;61;1;72
604;2001-01-11;201358;1;97;1;100
605;2001-01-11;201376;1;84;1;27
606;2001-01-11;201379;1;91;1;42
607;2001-01-11;201395;1;22;1;88
608;2001-01-11;201504;1;64;1;24
609;2001-01-11;201506;1;70;1;69
610;2001-01-11;201508;1;56;1;63
611;2001-01-11;201510;1;95;1;46
612;2001-01-11;201512;1;47;1;1
613;2001-01-11;201518;1;24;1;60
614;2001-01-11;201519;1;24;1;71
615;2001-01-11;201520;1;40;1;92
616;2001-01-11;201528;1;52;1;16
617;2001-01-11;201533;1;64;1;66
618;2001-01-11;201535;1;38;1;13
619;2001-01-11;201537;1;46;1;50
620;2001-01-11;201541;1;90;1;53
621;2001-01-11;201543;1;11;1;50
622;2001-01-11;201547;1;43;1;60
623;2001-01-11;201553;1;59;1;88
624;2001-01-11;201555;1;56;1;6
625;2001-01-11;201557;1;15;1;58
626;2001-01-11;201561;1;61;1;40
627;2001-01-11;201565;1;58;1;98
628;2001-01-11;201570;1;9;1;42
629;2001-01-11;201574;1;100;1;65
630;2001-01-11;201578;1;54;1;72
631;2001-01-11;201582;1;60;1;9
632;2001-01-11;201586;1;5;1;59
633;2001-01-11;201909;1;84;1;42
634;2001-01-11;201915;1;50;1;99
635;2001-01-11;201918;1;51;1;88
636;2001-01-11;201927;1;78;1;97
637;2001-01-11;201931;1;8;1;44
638;2001-01-11;201933;1;73;1;62
639;2001-01-11;201936;1;48;1;27
640;2001-01-11;201940;1;75;1;18
641;2001-01-11;201954;1;10;1;71
642;2001-01-11;201967;1;42;1;91
643;2001-01-11;201972;1;95;1;2
644;2001-01-11;201974;1;8;1;25
645;2001-01-11;201975;1;83;1;6
646;2001-01-11;201981;1;89;1;3
647;2001-01-11;201987;1;40;1;56
648;2001-01-11;201994;1;76;1;43
649;2001-01-11;202216;1;70;1;57
650;2001-01-11;202224;1;81;1;63
651;2001-01-11;202245;1;91;1;53
652;2001-01-11;202249;1;57;1;89
653;2001-01-11;202256;1;4;1;75
654;2001-01-11;202266;1;11;1;19
655;2001-01-11;202290;1;82;1;84
656;2001-01-11;202294;1;74;1;14
657;2001-01-11;203014;1;11;1;52
658;2001-01-11;203025;1;38;1;100
659;2001-01-11;203029;1;38;1;48
660;2001-01-11;203041;1;64;1;26
661;2001-01-11;203051;1;94;1;22
662;2001-01-11;203094;1;98;1;13
663;2001-01-11;204643;1;46;1;63
664;2001-01-11;204649;1;14;1;9
665;2001-01-11;204661;1;57;1;60
666;2001-01-11;204665;1;87;1;45
667;2001-01-11;204667;1;88;1;22
668;2001-01-11;204670;1;62;1;31
669;2001-01-11;204677;1;80;1;52
670;2001-01-11;204680;1;7;1;47
671;2001-01-11;205133;1;50;1;31
672;2001-01-11;205143;1;58;1;66
673;2001-01-11;205158;1;3;1;70
674;2001-01-11;205165;1;33;1;18
675;2001-01-11;205173;1;69;1;34
676;2001-01-11;207507;1;84;1;43
677;2001-01-11;207510;1;66;1;1
678;2001-01-11;207521;1;14;1;37
679;2001-01-11;207536;1;6;1;51
680;2001-01-11;207547;1;25;1;97
681;2001-01-11;207580;1;12;1;43
682;2001-01-11;207583;1;35;1;76
683;2001-01-11;207585;1;90;1;54
684;2001-01-11;207587;1;97;1;97
685;2001-01-11;208407;1;96;1;28
686;2001-01-11;208421;1;42;1;18
687;2001-01-11;208425;1;97;1;78
688;2001-01-11;208429;1;77;1;68
689;2001-01-11;208436;1;15;1;40
690;2001-01-11;208447;1;28;1;92
691;2001-01-11;208458;1;18;1;46
692;2001-01-11;208475;1;73;1;72
693;2001-01-11;208478;1;90;1;73
694;2001-01-11;208487;1;22;1;54
695;2001-01-11;302602;1;25;1;93
