id,project_code,project_name,project_objectives,estimated_cost,proj_intervention_tech_assess,duration,start_year,end_year,project_type,project_status
58,CH1-1,Prospects for Promotions Soil Conservation and Watershed Protection In Chittagong Hill Tracts,,10,,,,,,
59,CH26-5,Flow Control and Water Storage Structures for Water Availability in the Dry Season,,10,,,,,,
60,HR 2-1_2-2,Village Protection against Wave Action in Haor Area and Improved Water Management in Haor Basins,,17,,,,,,
61,HR1-1,Program for Implementation of Rationalized Water Related Interventions in Upper Meghna Basin,,12,,,,,,
62,HR2-4,Elevated Village Platforms for The Haor Areas,,24,,,,,,
63,HR14-1,"Ecosystem Habitat Preservation Program for Plans,Wildlife,Fisheries, and Migratory Birds",,29,,,,,,
64,HR15-4_5,Sustainable Haor Wetland/Rivers and Fish Habitat Management,,8,,,,,,
65,HR14-3,Management of Commercially Important Wetland Ecosystem,,14,,,,,,
66,CC18-5,Improvement of Urban Drainage in District and Upazila Level Municipalities of Bangladesh,,15,,,,,,
67,CC12-37,Integrated Agricultural Development in Moderately Cyclone Affected Area,,15,,,,,,
68,CC1-4,Development/Improvement of Multi-Purpose Disaster Shelters and Its Management Information System,,11,,,,,,
69,CC1-3,Dynamic Climate Smart Knowledge Portal and Hydro-Geological Database for MOWR and BWDB,,7,,,,,,
70,CC1-41,Program for Implementation of Rationalized Water Related Interventions in Dhaleswari Basin,,20,,,,,,
71,CC1-43,Revitalization of Khals all over the Country,,12,,,,,,
72,CC9-18,Project for Improvement of Storm Water Drainage Facilities in pourrashavas(Phase1),,2,,,,,,
73,CC9-10,Piped Water Supply Project In 100 Pourashavas,,4,,,,,,
74,CC9-11,Water Supply Project In The Urban Areas of Bangladesh (Secondary Towns),,13,,,,,,
75,CC9-17,Project for Improvement of Water Supply and Sanitation Facilities In Char Area,,17,,,,,,
76,CC9-13,Village Piped Water Supply System Project (Phase 1 & 2),,13,,,,,,
77,CC1-45,Expansion and Modernization of Network and Tools for Groundwater Monitoring including establishment of a National Coordination Mechanism,,7,,,,,,
78,CC1-46,Managed Aquifer Recharge for artificial Storage of water to Improvr Groundwater Table and Quality Conditions in Vulnerable Areas,,11,,,,,,
79,CC9-12,Improvement of Sanitation Systems in Urban Areas of Bangladesh,,28,,,,,,
80,CC16-19,Climate Resilent Livestock Production,,23,,,,,,
