id,DATE,UPAZILLACODE,CROPTYPEID,AREAAFFECTED [ha],LOSSTYPE [],LOSS [MT]
132,2001-01-01,205173,1,32,1,23
133,2001-01-01,207507,1,24,1,60
134,2001-01-01,207510,1,29,1,98
135,2001-01-01,207521,1,83,1,84
136,2001-01-01,207536,1,95,1,58
137,2001-01-01,207547,1,49,1,86
138,2001-01-01,207580,1,12,1,29
139,2001-01-01,207583,1,23,1,37
140,2001-01-01,207585,1,61,1,35
141,2001-01-01,207587,1,52,1,48
142,2001-01-01,208407,1,78,1,60
143,2001-01-01,208421,1,87,1,80
144,2001-01-01,208425,1,22,1,83
145,2001-01-01,208429,1,71,1,63
146,2001-01-01,208436,1,85,1,95
147,2001-01-01,208447,1,82,1,38
148,2001-01-01,208458,1,58,1,25
149,2001-01-01,208475,1,71,1,10
150,2001-01-01,208478,1,55,1,86
151,2001-01-01,208487,1,35,1,48
152,2001-01-01,302602,1,34,1,51
153,2001-01-01,302604,1,11,1,46
154,2001-01-01,302605,1,18,1,20
155,2001-01-01,302606,1,74,1,42
156,2001-01-01,302608,1,90,1,28
157,2001-01-01,302609,1,48,1,64
158,2001-01-01,302610,1,75,1,33
159,2001-01-01,302611,1,76,1,81
160,2001-01-01,302612,1,39,1,46
161,2001-01-01,302614,1,29,1,43
162,2001-01-01,302616,1,21,1,24
163,2001-01-01,302618,1,71,1,59
164,2001-01-01,302624,1,55,1,6
165,2001-01-01,302626,1,53,1,6
166,2001-01-01,302628,1,48,1,33
167,2001-01-01,302629,1,4,1,8
168,2001-01-01,302630,1,66,1,46
169,2001-01-01,302632,1,61,1,15
170,2001-01-01,302633,1,23,1,7
171,2001-01-01,302634,1,4,1,6
172,2001-01-01,302636,1,26,1,39
173,2001-01-01,302637,1,81,1,90
174,2001-01-01,302638,1,49,1,52
175,2001-01-01,302640,1,73,1,47
176,2001-01-01,302642,1,92,1,7
177,2001-01-01,302648,1,85,1,74
178,2001-01-01,302650,1,45,1,6
179,2001-01-01,302654,1,52,1,69
180,2001-01-01,302662,1,8,1,12
181,2001-01-01,302663,1,59,1,12
182,2001-01-01,302664,1,89,1,40
183,2001-01-01,302665,1,59,1,17
184,2001-01-01,302666,1,78,1,95
185,2001-01-01,302667,1,11,1,79
186,2001-01-01,302668,1,64,1,21
187,2001-01-01,302672,1,36,1,17
188,2001-01-01,302674,1,21,1,50
189,2001-01-01,302675,1,88,1,7
190,2001-01-01,302676,1,35,1,31
191,2001-01-01,302680,1,7,1,72
192,2001-01-01,302688,1,4,1,44
193,2001-01-01,302690,1,25,1,80
194,2001-01-01,302692,1,30,1,49
195,2001-01-01,302693,1,31,1,91
196,2001-01-01,302695,1,60,1,12
197,2001-01-01,302696,1,11,1,14
198,2001-01-01,302903,1,60,1,35
199,2001-01-01,302910,1,29,1,72
200,2001-01-01,302918,1,47,1,83
201,2001-01-01,302921,1,79,1,4
202,2001-01-01,302947,1,50,1,25
203,2001-01-01,302956,1,22,1,38
204,2001-01-01,302962,1,66,1,78
205,2001-01-01,302984,1,94,1,15
206,2001-01-01,302990,1,97,1,38
207,2001-01-01,303330,1,43,1,25
208,2001-01-01,303332,1,95,1,61
209,2001-01-01,303334,1,39,1,9
210,2001-01-01,303336,1,43,1,17
211,2001-01-01,303386,1,43,1,51
212,2001-01-01,303532,1,32,1,4
213,2001-01-01,303543,1,100,1,83
214,2001-01-01,303551,1,39,1,5
215,2001-01-01,303558,1,95,1,1
216,2001-01-01,303591,1,98,1,46
217,2001-01-01,303907,1,25,1,39
218,2001-01-01,303915,1,70,1,90
219,2001-01-01,303929,1,55,1,97
220,2001-01-01,303936,1,4,1,98
221,2001-01-01,303958,1,47,1,49
222,2001-01-01,303961,1,99,1,55
223,2001-01-01,303985,1,11,1,80
224,2001-01-01,304802,1,98,1,21
225,2001-01-01,304806,1,43,1,75
226,2001-01-01,304811,1,26,1,66
227,2001-01-01,304827,1,79,1,37
228,2001-01-01,304833,1,51,1,23
229,2001-01-01,304842,1,52,1,76
230,2001-01-01,304845,1,41,1,54
231,2001-01-01,304849,1,96,1,85
232,2001-01-01,304854,1,50,1,27
233,2001-01-01,304859,1,58,1,19
234,2001-01-01,304876,1,16,1,48
235,2001-01-01,304879,1,33,1,81
236,2001-01-01,304892,1,100,1,45
237,2001-01-01,305440,1,43,1,42
238,2001-01-01,305454,1,61,1,28
239,2001-01-01,305480,1,88,1,28
240,2001-01-01,305487,1,32,1,74
241,2001-01-01,305610,1,4,1,55
242,2001-01-01,305622,1,15,1,38
243,2001-01-01,305628,1,96,1,29
244,2001-01-01,305646,1,28,1,39
245,2001-01-01,305670,1,4,1,46
246,2001-01-01,305678,1,11,1,18
247,2001-01-01,305682,1,86,1,20
248,2001-01-01,305924,1,97,1,23
249,2001-01-01,305944,1,16,1,84
250,2001-01-01,305956,1,44,1,10
251,2001-01-01,305974,1,33,1,63
252,2001-01-01,305984,1,36,1,53
253,2001-01-01,305994,1,44,1,10
254,2001-01-01,306113,1,29,1,76
255,2001-01-01,306116,1,43,1,16
256,2001-01-01,306120,1,9,1,62
257,2001-01-01,306122,1,46,1,97
258,2001-01-01,306123,1,1,1,48
259,2001-01-01,306124,1,63,1,46
260,2001-01-01,306131,1,65,1,19
261,2001-01-01,306152,1,48,1,14
262,2001-01-01,306165,1,31,1,86
263,2001-01-01,306172,1,35,1,77
264,2001-01-01,306181,1,46,1,70
265,2001-01-01,306194,1,4,1,45
266,2001-01-01,306702,1,13,1,90
267,2001-01-01,306704,1,52,1,68
268,2001-01-01,306706,1,34,1,88
269,2001-01-01,306758,1,83,1,24
270,2001-01-01,306768,1,4,1,35
271,2001-01-01,306807,1,7,1,92
272,2001-01-01,306852,1,34,1,36
273,2001-01-01,306860,1,6,1,72
274,2001-01-01,306863,1,87,1,85
275,2001-01-01,306864,1,35,1,82
276,2001-01-01,306876,1,17,1,48
277,2001-01-01,307204,1,95,1,65
278,2001-01-01,307209,1,85,1,44
279,2001-01-01,307218,1,42,1,100
280,2001-01-01,307238,1,13,1,80
281,2001-01-01,307240,1,30,1,31
282,2001-01-01,307247,1,85,1,89
283,2001-01-01,307256,1,76,1,15
284,2001-01-01,307263,1,65,1,56
285,2001-01-01,307274,1,61,1,18
286,2001-01-01,307283,1,22,1,69
287,2001-01-01,308207,1,21,1,62
288,2001-01-01,308229,1,78,1,80
289,2001-01-01,308247,1,66,1,85
290,2001-01-01,308273,1,41,1,97
291,2001-01-01,308276,1,24,1,43
292,2001-01-01,308614,1,51,1,65
293,2001-01-01,308625,1,91,1,45
294,2001-01-01,308636,1,24,1,26
295,2001-01-01,308665,1,57,1,69
296,2001-01-01,308669,1,36,1,74
297,2001-01-01,308694,1,93,1,61
298,2001-01-01,308937,1,48,1,3
299,2001-01-01,308967,1,65,1,17
300,2001-01-01,308970,1,6,1,39
301,2001-01-01,308988,1,48,1,3
302,2001-01-01,308990,1,88,1,18
303,2001-01-01,309309,1,64,1,13
304,2001-01-01,309319,1,48,1,81
305,2001-01-01,309323,1,59,1,60
306,2001-01-01,309325,1,54,1,10
307,2001-01-01,309328,1,69,1,61
308,2001-01-01,309338,1,13,1,98
309,2001-01-01,309347,1,76,1,84
310,2001-01-01,309357,1,32,1,26
311,2001-01-01,309366,1,16,1,35
312,2001-01-01,309376,1,64,1,43
313,2001-01-01,309385,1,89,1,93
314,2001-01-01,309395,1,14,1,27
315,2001-01-01,400108,1,66,1,18
316,2001-01-01,400114,1,14,1,34
317,2001-01-01,400134,1,76,1,19
318,2001-01-01,400138,1,6,1,9
319,2001-01-01,400156,1,89,1,5
320,2001-01-01,400158,1,61,1,23
321,2001-01-01,400160,1,63,1,35
322,2001-01-01,400173,1,69,1,43
323,2001-01-01,400177,1,45,1,82
324,2001-01-01,401807,1,3,1,92
325,2001-01-01,401823,1,75,1,30
326,2001-01-01,401831,1,71,1,68
327,2001-01-01,401855,1,15,1,10
328,2001-01-01,404104,1,41,1,34
329,2001-01-01,404109,1,19,1,18
330,2001-01-01,404111,1,29,1,63
331,2001-01-01,404123,1,40,1,39
332,2001-01-01,404138,1,2,1,32
333,2001-01-01,404147,1,36,1,65
334,2001-01-01,404161,1,20,1,43
335,2001-01-01,404190,1,96,1,12
336,2001-01-01,404414,1,89,1,84
337,2001-01-01,404419,1,64,1,25
338,2001-01-01,404433,1,31,1,10
339,2001-01-01,404442,1,44,1,47
340,2001-01-01,404471,1,22,1,52
341,2001-01-01,404480,1,68,1,32
342,2001-01-01,404712,1,7,1,4
343,2001-01-01,404717,1,86,1,69
344,2001-01-01,404721,1,22,1,45
345,2001-01-01,404730,1,29,1,98
346,2001-01-01,404740,1,32,1,54
347,2001-01-01,404745,1,53,1,29
348,2001-01-01,404748,1,28,1,47
349,2001-01-01,404751,1,7,1,63
350,2001-01-01,404753,1,48,1,87
351,2001-01-01,404764,1,2,1,2
352,2001-01-01,404769,1,67,1,41
353,2001-01-01,404775,1,5,1,41
354,2001-01-01,404785,1,91,1,60
355,2001-01-01,404794,1,52,1,70
356,2001-01-01,405015,1,86,1,68
357,2001-01-01,405039,1,95,1,29
358,2001-01-01,405063,1,61,1,78
359,2001-01-01,405071,1,13,1,87
360,2001-01-01,405079,1,77,1,46
361,2001-01-01,405094,1,95,1,52
362,2001-01-01,405557,1,7,1,61
363,2001-01-01,405566,1,69,1,65
364,2001-01-01,405585,1,91,1,20
365,2001-01-01,405595,1,98,1,59
366,2001-01-01,405747,1,28,1,57
367,2001-01-01,405760,1,35,1,67
368,2001-01-01,405787,1,8,1,22
369,2001-01-01,406528,1,68,1,92
370,2001-01-01,406552,1,92,1,54
371,2001-01-01,406576,1,42,1,16
372,2001-01-01,408704,1,51,1,84
373,2001-01-01,408725,1,74,1,96
374,2001-01-01,408743,1,49,1,90
375,2001-01-01,408747,1,55,1,36
376,2001-01-01,408782,1,52,1,53
377,2001-01-01,408786,1,18,1,30
378,2001-01-01,408790,1,14,1,81
379,2001-01-01,501006,1,50,1,12
380,2001-01-01,501020,1,7,1,37
381,2001-01-01,501027,1,48,1,99
382,2001-01-01,501033,1,22,1,66
383,2001-01-01,501040,1,75,1,10
384,2001-01-01,501054,1,6,1,86
385,2001-01-01,501067,1,36,1,83
386,2001-01-01,501081,1,58,1,59
387,2001-01-01,501085,1,81,1,41
388,2001-01-01,501088,1,48,1,2
389,2001-01-01,501094,1,64,1,23
390,2001-01-01,501095,1,61,1,89
391,2001-01-01,503813,1,27,1,40
392,2001-01-01,503847,1,68,1,55
393,2001-01-01,503858,1,42,1,49
394,2001-01-01,503861,1,100,1,11
395,2001-01-01,503874,1,69,1,58
396,2001-01-01,506403,1,13,1,98
397,2001-01-01,506406,1,49,1,4
398,2001-01-01,506428,1,77,1,96
399,2001-01-01,506447,1,10,1,10
400,2001-01-01,506450,1,15,1,36
401,2001-01-01,506460,1,5,1,48
402,2001-01-01,506469,1,78,1,32
403,2001-01-01,506475,1,32,1,43
404,2001-01-01,506479,1,50,1,84
405,2001-01-01,506485,1,2,1,67
406,2001-01-01,506486,1,11,1,7
407,2001-01-01,506909,1,91,1,79
408,2001-01-01,506915,1,39,1,14
409,2001-01-01,506941,1,79,1,53
410,2001-01-01,506944,1,37,1,92
411,2001-01-01,506963,1,93,1,55
412,2001-01-01,506991,1,96,1,17
413,2001-01-01,507018,1,1,1,60
414,2001-01-01,507037,1,68,1,57
415,2001-01-01,507056,1,59,1,60
416,2001-01-01,507066,1,13,1,19
417,2001-01-01,507088,1,89,1,49
418,2001-01-01,507605,1,27,1,86
419,2001-01-01,507616,1,22,1,94
420,2001-01-01,507619,1,46,1,10
421,2001-01-01,507622,1,32,1,33
422,2001-01-01,507633,1,8,1,84
423,2001-01-01,507639,1,16,1,53
424,2001-01-01,507655,1,7,1,79
425,2001-01-01,507672,1,49,1,54
426,2001-01-01,507683,1,52,1,65
427,2001-01-01,508110,1,50,1,80
428,2001-01-01,508112,1,52,1,87
429,2001-01-01,508122,1,24,1,47
430,2001-01-01,508125,1,78,1,68
431,2001-01-01,508131,1,65,1,90
432,2001-01-01,508134,1,20,1,35
433,2001-01-01,508140,1,65,1,91
434,2001-01-01,508153,1,99,1,100
435,2001-01-01,508172,1,73,1,56
436,2001-01-01,508182,1,21,1,88
437,2001-01-01,508185,1,14,1,4
438,2001-01-01,508190,1,97,1,97
439,2001-01-01,508194,1,33,1,25
440,2001-01-01,508811,1,71,1,2
441,2001-01-01,508827,1,73,1,62
442,2001-01-01,508844,1,86,1,84
443,2001-01-01,508850,1,92,1,14
444,2001-01-01,508861,1,16,1,19
445,2001-01-01,508867,1,56,1,60
446,2001-01-01,508878,1,9,1,97
447,2001-01-01,508889,1,1,1,60
448,2001-01-01,508894,1,64,1,96
449,2001-01-01,552710,1,41,1,46
450,2001-01-01,552712,1,11,1,84
451,2001-01-01,552717,1,61,1,58
452,2001-01-01,552721,1,88,1,64
453,2001-01-01,552730,1,60,1,24
454,2001-01-01,552738,1,97,1,65
455,2001-01-01,552743,1,38,1,81
456,2001-01-01,552747,1,93,1,8
457,2001-01-01,552756,1,72,1,38
458,2001-01-01,552760,1,23,1,53
459,2001-01-01,552764,1,21,1,78
460,2001-01-01,552769,1,21,1,57
461,2001-01-01,552777,1,61,1,28
462,2001-01-01,553221,1,69,1,99
463,2001-01-01,553224,1,61,1,44
464,2001-01-01,553230,1,95,1,16
465,2001-01-01,553267,1,54,1,35
466,2001-01-01,553282,1,56,1,84
467,2001-01-01,553288,1,42,1,8
468,2001-01-01,553291,1,39,1,4
469,2001-01-01,554906,1,35,1,87
470,2001-01-01,554908,1,77,1,97
471,2001-01-01,554909,1,18,1,85
472,2001-01-01,554918,1,88,1,93
473,2001-01-01,554952,1,26,1,75
474,2001-01-01,554961,1,38,1,90
475,2001-01-01,554977,1,71,1,22
476,2001-01-01,554979,1,36,1,39
477,2001-01-01,554994,1,17,1,47
478,2001-01-01,555202,1,86,1,7
479,2001-01-01,555233,1,31,1,98
480,2001-01-01,555239,1,50,1,21
481,2001-01-01,555255,1,19,1,73
482,2001-01-01,555270,1,58,1,1
483,2001-01-01,557312,1,91,1,71
484,2001-01-01,557315,1,29,1,26
485,2001-01-01,557336,1,74,1,67
486,2001-01-01,557345,1,18,1,33
487,2001-01-01,557364,1,75,1,4
488,2001-01-01,557385,1,43,1,93
489,2001-01-01,557704,1,47,1,60
490,2001-01-01,557725,1,80,1,75
491,2001-01-01,557734,1,8,1,21
492,2001-01-01,557773,1,35,1,32
493,2001-01-01,557790,1,26,1,29
494,2001-01-01,558503,1,16,1,19
495,2001-01-01,558527,1,80,1,67
496,2001-01-01,558542,1,81,1,88
497,2001-01-01,558549,1,51,1,2
498,2001-01-01,558558,1,65,1,57
499,2001-01-01,558573,1,15,1,23
500,2001-01-01,558576,1,12,1,43
501,2001-01-01,558592,1,43,1,97
502,2001-01-01,559408,1,9,1,72
503,2001-01-01,559451,1,43,1,91
504,2001-01-01,559482,1,50,1,33
505,2001-01-01,559486,1,25,1,34
506,2001-01-01,559494,1,81,1,92
507,2001-01-01,603602,1,27,1,30
508,2001-01-01,603605,1,84,1,21
509,2001-01-01,603611,1,63,1,58
510,2001-01-01,603626,1,5,1,4
511,2001-01-01,603644,1,19,1,45
512,2001-01-01,603668,1,72,1,49
513,2001-01-01,603671,1,7,1,12
514,2001-01-01,603677,1,17,1,49
515,2001-01-01,605814,1,30,1,86
516,2001-01-01,605835,1,5,1,14
517,2001-01-01,605856,1,64,1,49
518,2001-01-01,605865,1,50,1,16
519,2001-01-01,605874,1,89,1,5
520,2001-01-01,605880,1,30,1,93
521,2001-01-01,605883,1,74,1,20
522,2001-01-01,609018,1,93,1,54
523,2001-01-01,609023,1,20,1,41
524,2001-01-01,609027,1,16,1,70
525,2001-01-01,609029,1,95,1,76
526,2001-01-01,609032,1,32,1,59
527,2001-01-01,609033,1,66,1,67
528,2001-01-01,609047,1,89,1,7
529,2001-01-01,609050,1,87,1,70
530,2001-01-01,609086,1,21,1,55
531,2001-01-01,609089,1,98,1,94
532,2001-01-01,609092,1,7,1,5
533,2001-01-01,609108,1,27,1,76
534,2001-01-01,609117,1,1,1,61
535,2001-01-01,609120,1,45,1,43
536,2001-01-01,609127,1,84,1,76
537,2001-01-01,609131,1,55,1,61
538,2001-01-01,609135,1,43,1,69
539,2001-01-01,609138,1,37,1,4
540,2001-01-01,609141,1,14,1,24
541,2001-01-01,609153,1,86,1,62
542,2001-01-01,609159,1,96,1,44
543,2001-01-01,609162,1,38,1,22
544,2001-01-11,100409,1,38,1,60
545,2001-01-11,100419,1,3,1,16
546,2001-01-11,100428,1,59,1,29
547,2001-01-11,100447,1,17,1,81
548,2001-01-11,100485,1,25,1,66
549,2001-01-11,100602,1,58,1,13
550,2001-01-11,100603,1,61,1,46
551,2001-01-11,100607,1,1,1,83
552,2001-01-11,100610,1,76,1,97
553,2001-01-11,100632,1,70,1,47
554,2001-01-11,100636,1,10,1,98
555,2001-01-11,100651,1,46,1,26
556,2001-01-11,100662,1,66,1,73
557,2001-01-11,100669,1,33,1,28
558,2001-01-11,100694,1,98,1,79
559,2001-01-11,100918,1,28,1,7
560,2001-01-11,100921,1,41,1,62
561,2001-01-11,100925,1,24,1,11
562,2001-01-11,100929,1,98,1,13
563,2001-01-11,100954,1,37,1,42
564,2001-01-11,100965,1,20,1,41
565,2001-01-11,100991,1,87,1,61
566,2001-01-11,104240,1,60,1,9
567,2001-01-11,104243,1,65,1,81
568,2001-01-11,104273,1,22,1,52
569,2001-01-11,104284,1,3,1,2
570,2001-01-11,107838,1,54,1,21
571,2001-01-11,107852,1,83,1,75
572,2001-01-11,107855,1,39,1,80
573,2001-01-11,107857,1,33,1,23
574,2001-01-11,107866,1,7,1,31
575,2001-01-11,107876,1,48,1,20
576,2001-01-11,107895,1,100,1,68
577,2001-01-11,107914,1,52,1,7
578,2001-01-11,107947,1,84,1,39
579,2001-01-11,107958,1,19,1,25
580,2001-01-11,107976,1,73,1,83
581,2001-01-11,107980,1,48,1,71
582,2001-01-11,107987,1,85,1,91
583,2001-01-11,107990,1,33,1,15
584,2001-01-11,200304,1,15,1,85
585,2001-01-11,200314,1,54,1,60
586,2001-01-11,200351,1,19,1,10
587,2001-01-11,200373,1,31,1,29
588,2001-01-11,200389,1,98,1,75
589,2001-01-11,200391,1,35,1,8
590,2001-01-11,200395,1,36,1,69
591,2001-01-11,201202,1,67,1,62
592,2001-01-11,201204,1,51,1,25
593,2001-01-11,201207,1,8,1,66
594,2001-01-11,201213,1,48,1,80
595,2001-01-11,201233,1,44,1,98
596,2001-01-11,201263,1,64,1,33
597,2001-01-11,201285,1,64,1,65
598,2001-01-11,201290,1,24,1,60
599,2001-01-11,201294,1,35,1,58
600,2001-01-11,201322,1,34,1,28
601,2001-01-11,201345,1,76,1,63
602,2001-01-11,201347,1,3,1,30
603,2001-01-11,201349,1,62,1,6
604,2001-01-11,201358,1,56,1,47
605,2001-01-11,201376,1,73,1,25
606,2001-01-11,201379,1,62,1,3
607,2001-01-11,201395,1,59,1,9
608,2001-01-11,201504,1,45,1,9
609,2001-01-11,201506,1,76,1,38
610,2001-01-11,201508,1,16,1,72
611,2001-01-11,201510,1,63,1,95
612,2001-01-11,201512,1,87,1,90
613,2001-01-11,201518,1,28,1,56
614,2001-01-11,201519,1,1,1,77
615,2001-01-11,201520,1,17,1,53
616,2001-01-11,201528,1,7,1,9
617,2001-01-11,201533,1,40,1,58
618,2001-01-11,201535,1,44,1,12
619,2001-01-11,201537,1,76,1,27
620,2001-01-11,201541,1,3,1,48
621,2001-01-11,201543,1,47,1,41
622,2001-01-11,201547,1,33,1,29
623,2001-01-11,201553,1,44,1,100
624,2001-01-11,201555,1,83,1,9
625,2001-01-11,201557,1,89,1,72
626,2001-01-11,201561,1,10,1,61
627,2001-01-11,201565,1,17,1,2
628,2001-01-11,201570,1,47,1,34
629,2001-01-11,201574,1,22,1,85
630,2001-01-11,201578,1,71,1,83
631,2001-01-11,201582,1,74,1,89
632,2001-01-11,201586,1,81,1,79
633,2001-01-11,201909,1,57,1,63
634,2001-01-11,201915,1,1,1,15
635,2001-01-11,201918,1,27,1,52
636,2001-01-11,201927,1,35,1,21
637,2001-01-11,201931,1,27,1,78
638,2001-01-11,201933,1,82,1,45
639,2001-01-11,201936,1,6,1,16
640,2001-01-11,201940,1,79,1,54
641,2001-01-11,201954,1,45,1,69
642,2001-01-11,201967,1,68,1,15
643,2001-01-11,201972,1,63,1,2
644,2001-01-11,201974,1,88,1,9
645,2001-01-11,201975,1,100,1,87
646,2001-01-11,201981,1,94,1,16
647,2001-01-11,201987,1,15,1,55
648,2001-01-11,201994,1,1,1,23
649,2001-01-11,202216,1,8,1,61
650,2001-01-11,202224,1,46,1,68
651,2001-01-11,202245,1,4,1,33
652,2001-01-11,202249,1,95,1,54
653,2001-01-11,202256,1,1,1,55
654,2001-01-11,202266,1,82,1,44
655,2001-01-11,202290,1,44,1,79
656,2001-01-11,202294,1,59,1,4
657,2001-01-11,203014,1,25,1,48
658,2001-01-11,203025,1,59,1,55
659,2001-01-11,203029,1,55,1,95
660,2001-01-11,203041,1,22,1,43
661,2001-01-11,203051,1,50,1,41
662,2001-01-11,203094,1,85,1,61
663,2001-01-11,204643,1,68,1,74
664,2001-01-11,204649,1,78,1,72
665,2001-01-11,204661,1,17,1,12
666,2001-01-11,204665,1,25,1,68
667,2001-01-11,204667,1,52,1,90
668,2001-01-11,204670,1,72,1,10
669,2001-01-11,204677,1,97,1,90
670,2001-01-11,204680,1,35,1,6
671,2001-01-11,205133,1,89,1,51
672,2001-01-11,205143,1,36,1,6
673,2001-01-11,205158,1,50,1,32
674,2001-01-11,205165,1,23,1,95
675,2001-01-11,205173,1,1,1,54
676,2001-01-11,207507,1,63,1,1
677,2001-01-11,207510,1,31,1,90
678,2001-01-11,207521,1,1,1,40
679,2001-01-11,207536,1,45,1,98
680,2001-01-11,207547,1,73,1,36
681,2001-01-11,207580,1,92,1,4
682,2001-01-11,207583,1,1,1,72
683,2001-01-11,207585,1,41,1,26
684,2001-01-11,207587,1,93,1,79
685,2001-01-11,208407,1,66,1,11
686,2001-01-11,208421,1,44,1,65
687,2001-01-11,208425,1,70,1,66
688,2001-01-11,208429,1,68,1,45
689,2001-01-11,208436,1,30,1,85
690,2001-01-11,208447,1,88,1,41
691,2001-01-11,208458,1,35,1,67
692,2001-01-11,208475,1,58,1,31
693,2001-01-11,208478,1,3,1,95
694,2001-01-11,208487,1,3,1,76
